Code,Title Characters,Title Pinyin,Title P_li,Section,s_tras,Codes,P_li Reference,Page,Line,Term,Pinyin,Sanskrit,P,P#,P Notes,C,C#,C Notes,S,S#,S Notes,Notes 1,Notes 2,Notes 3,Notes 4,Notes 5
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.233b,26,_ ,fó,buddha,but,P96,,*bj_t > bjw_t,#1,,but,30-14,,cf. Parthian bwt and Sogdian pwt vs. Bactrian _____ (the sole transcription of buddha in any Central Asian language that contains a final vowel),"quite different are Khotanese balysa (“knower of ritual utterances,” Bailey 1979, 272a) and the compound forms found in Tokharian A pt_ñkät and Tokharian B pañäkte “Buddha-god,” the format of which surely served as a prototype for Uighur bur_an  –> __. burqan “Buddha-Khan“ ",note the pronunciation of the element meaning “Buddha” as bur (not but) in Uighur (and from there into Mongolian),G_ndh_r_ budha _(rarely bodha),"important note:  here the term_is almost certainly not being used as a transcription of the word “buddha” here, but rather as a translation (a “substitution term”) for a form of bhagavat “blessed one”; see Nattier 2006, “Masquerading as Transcription”"
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.233b,26,__,shè wèi,_r_vast_,_ia’ wiajh ,"P278, 322",,*_ja-_jwat- > _ja-jwäi,#3,,"_aC, _aB + was",01-48 + 28-05,,for _ as a transcription character cf. ____ ji_ wéi luó wèi for “Kapilavastu” in Kang Mengxiang’s T196 (also written there as____),"_ _ yuè:  P wuat (388), C *_jwat > jw_t (#331), S w_t (22-5)",,,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.233b,26,_,zh_,Jeta,t_i_/t_i,P404,,*t_jei > t_je [but also *gjiei > gjie],#4,"Coblin equates this with Jetavana, but the component vana “grove” is translated (as _ shù “tree[s]”) rather than transcribed",t_e < kie,"07-06,",,_ one would expect a character with a final –t in EMC/EH/LH to be used to transcribe this word,,,,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.233b,27,___,shè lì yu_,__riputra,_ia’ lih <wuat>,"P278, 188, <387>",,*_ja- lji_i- > _ja- lji- [sic],#5,"Coblin registers only the first two characters (mistaking _ for the verb of speaking???) and gives the corresponding Sanskrit form as __r_ (the name of __riputra’s mother, from which the matronymic __riputra “son of __r_” is derived)  ","_aC, _aB, liC, w_t","01-48, 26-24, 22-04",,"the term __ does occur elsewhere as a transcription, but in these cases it corresponds to Skt. _ar_ra “body, relics”",_ *vut for put(ra) suggests a Gdh. source (medial -p- –> -v-); cf. dv_pa –> divu (DhpK 111c),see also the transcription of the name of Mah_praj_pat_ as______ mó h_ b_i y_ hé tí [where _transcribes the sound va; see the classic discussion of this in Brough 1975],"only forms with –p- are attested in Gdh. thus far [parsing __ri + putra as separate words and thus treating the p- as initial, which does not shift to v-?]",
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.233b,27,__,b_ qi_,bhik_u,pji’ khuw ,"P33, 257",,*bji_i khju / bji_i- khju > bi khj_u / bi- khj_u,#10,"Coblin does not register the occurrence here, listing the term as occurring first at 241a (#10).","piB, khu < khwu_ ","26-38, 04-14",,"from a Middle Indic form such as G_ndh_r_ bhikhu according to Baums (2009, pp. 169 and 663)","OIA k_ is normally maintained in G_ndh_r_, but as Baums points out (p. 169), the word bhikhu is one of a group of technical terms which appear in G_ndh_r_ with k_ –> kh, all of which are likely to be loanwords taken into G_ndh_r_ from another Middle Indic language; note also that in some later texts (e.g., DhpK) this term is written in Sanskritic form as bhik_u ",there is quite a literature on this word (going back at least to Pelliot I believe) and its occasional variant form_,,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.234b,13,_,mó,M_ra,ma,P217,,*ma > mwâ,#16,"Not registered for the occurrence here; Coblin first notes this term as appearing in T150, 876.3 (#16).",NA,NA,,there is quite a literature on this word (going back at least to Pelliot I believe) and its occasional variant form_,,,,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.234b,13,_,fàn,Brahm_,buamh,P91,,*b(r)jam- > bjw_m-,#6,"Cited not from this occurrence, but from a later one at 236a.",bu_m,36-26,,,,,,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.234b,13,__,sh_ mén,_rama_a ,_ai/___ m_n ,"P273, 211",,*sra m_n > _a mw_n ,#7,Cited from a subsequent occurrence at 236c.,"_a < _ai, m_n ","18-15, 33-35",,this word (like _ for buddha) is likely to have been a “marketplace term” that was already circulating in spoken Chinese prior to being used in any translated scripture,"another feature of “marketplace” terms is that they may have been based on loan words borrowed into non-Indic (presumably Central Asian) languages, rather than being based directly on G_ndh_r_ or other Indic-language forms  ","note that__is used both as a transcription of (various Middle Indic forms of) _rama_a “non-brahmanical renunciant” and as a translation (i.e., a substitution term) for bhik_u “[fully-ordained] Buddhist monk” (see Nattier 2006)",,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.234b,13-14,___,pó luó mén,br_hma_a,ba la m_n ,"P241, 203, 211",,*pa la m_n > pwâ lâ mw_n ,#8,Cited from a subsequent occurrence at 236c.,"bai, la < lai, m_n","18-16, 18-10, 33-35",,,,,,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.238b,23,_ ,yù,NA,_uwk,P384,,NA,NA,,_w_k ,"04-17,",,could this be a transcription of the name of a flower?,_ check for flower names in the P_li version and other Chinese translations,,,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.238b,26,__,ji_ ní,NA,kai/k__ + nri ,P143 + P223,,NA,NA,,"ka < kai, _i/neiC",18-04 + 26-25,,could this be a transcription of the name of a flower?,_ check for flower names in the P_li version and other Chinese translations,,,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.238b,26,var. _,ji_,NA,kia ,P143,,NA,NA,,ka,"18-04,",,,,,,
T13,_______,Cháng _hán shíbàof_ j_ng ,Dasuttarasutta,NA,NA,NA,DN34,1.238c,14,_,chán,dhy_na,d_ian,P48,,*d_jan > _jän,#9,But cited from a subsequent occurrence at 240a.,NA,NA,,"G_ndh_r_ j_a_a, j_a_o, jano (see Baums and Glass 2002- )",cf. P_li jh_na,there are lots of discussions of this word; would be ideal to include references later,,
